Code\x20H  4669 presidio  183r      REG                1,5         1809            19244939 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/src/app/weather-card-component/weather-card-component.css
Code\x20H  4669 presidio  184r      REG                1,5          436            19426422 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/src/app/app.ts
Code\x20H  4669 presidio  185r      REG                1,5         2560            19243591 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/src/app/weather-dashboard-component/weather-dashboard-component.css
Code\x20H  4669 presidio  186r      REG                1,5            0            19208198 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/src/app/app.css
Code\x20H  4669 presidio  187r      REG                1,5          429            20198107 /Users/presidio/Downloads/Genspark-Training/23-06-2025-Angular-Final/Freelance-Project/tsconfig.app.json
Code\x20H  4669 presidio  188r      REG                1,5          118            19426414 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/src/app/Models/UserLoginModel.ts
Code\x20H  4669 presidio  189r      REG                1,5           84            19426415 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/src/app/Models/cartItem.ts
Code\x20H  4669 presidio  190r      REG                1,5          195            19426416 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/src/app/Models/product.ts
Code\x20H  4669 presidio  191r      REG                1,5          597            19426427 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/src/app/first/first.ts
Code\x20H  4669 presidio  192r      REG                1,5          521            19426432 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/src/app/login/login.ts
Code\x20H  4669 presidio  194r      REG                1,5         1101            19426442 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/src/app/product/product.ts
Code\x20H  4669 presidio  196r      REG                1,5          650            19426449 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/src/app/services/User.service.ts
Code\x20H  4669 presidio  197r      REG                1,5         1219            19425545 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/node_modules/tslib/package.json
Code\x20H  4669 presidio  198r      REG                1,5         1832            19407763 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/node_modules/@angular/platform-browser/package.json
Code\x20H  4669 presidio  199r      REG                1,5         2362            19407665 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/node_modules/@angular/core/package.json
Code\x20H  4669 presidio  200r      REG                1,5         8116            19424459 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/node_modules/rxjs/package.json
Code\x20H  4669 presidio  201r      REG                1,5         1982            19406848 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/node_modules/@angular/common/package.json
Code\x20H  4669 presidio  202r      REG                1,5         1776            19407781 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/node_modules/@angular/router/package.json
Code\x20H  4669 presidio  203r      REG                1,5          993            19426408 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/package.json
Code\x20H  4669 presidio  204r      REG                1,5         1231            19406862 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/node_modules/@angular/compiler/package.json
Code\x20H  4669 presidio  205r      REG                1,5         2186            19426405 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/node_modules/zone.js/package.json
Code\x20H  4669 presidio  206r      REG                1,5         1378            19407739 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/node_modules/@angular/forms/package.json
Code\x20H  4669 presidio  207r      REG                1,5           26            19425544 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/node_modules/tslib/modules/package.json
Code\x20H  4669 presidio  208r      REG                1,5          354            19426425 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/src/app/first/first.html
Code\x20H  4669 presidio  209r      REG                1,5          209            19426424 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/src/app/first/first.css
Code\x20H  4669 presidio  210r      REG                1,5          391            19426440 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/src/app/product/product.html
Code\x20H  4669 presidio  211r      REG                1,5            0            19426439 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/src/app/product/product.css
Code\x20H  4669 presidio  213r      REG                1,5          250            19426444 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/src/app/products/products.css
Code\x20H  4669 presidio  214r      REG                1,5          351            19426430 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/src/app/login/login.html
Code\x20H  4669 presidio  215r      REG                1,5           29            19426429 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/src/app/login/login.css
Code\x20H  4669 presidio  216r      REG                1,5          408            19426456 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/tsconfig.spec.json
Code\x20H  4669 presidio  217r      REG                1,5            0            19426434 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/src/app/menu/menu.css
Code\x20H  4669 presidio  218r      REG                1,5          191            19426419 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/src/app/app.html
Code\x20H  4669 presidio  219r      REG                1,5            0            19426418 /U
